iter	Passed	Remaining
0	165	164869
1	186	93041
2	203	67484
3	218	54426
4	234	46750
5	250	41462
6	265	37695
7	282	35012
8	302	33280
9	320	31777
10	337	30313
11	355	29279
12	382	29034
13	404	28466
14	420	27638
15	437	26905
16	452	26181
17	472	25803
18	500	25835
19	522	25607
20	549	25637
21	576	25644
22	596	25341
23	615	25026
24	646	25211
25	674	25271
26	719	25918
27	764	26530
28	800	26795
29	834	26969
30	888	27785
31	955	28890
32	1009	29590
33	1041	29601
34	1068	29463
35	1088	29140
36	1112	28953
37	1138	28830
38	1175	28968
39	1256	30162
40	1345	31475
41	1412	32219
42	1461	32530
43	1499	32575
44	1532	32516
45	1571	32584
46	1607	32599
47	1645	32631
48	1676	32546
49	1738	33034
50	1792	33348
51	1833	33422
52	1870	33428
53	1905	33378
54	1939	33317
55	1966	33145
56	1993	32988
57	2020	32809
58	2053	32747
59	2081	32610
60	2110	32491
61	2132	32265
62	2155	32058
63	2178	31857
64	2207	31747
65	2224	31473
66	2246	31287
67	2264	31031
68	2281	30784
69	2296	30515
70	2314	30281
71	2332	30057
72	2346	29802
73	2367	29628
74	2384	29411
75	2400	29179
76	2416	28966
77	2435	28787
78	2461	28691
79	2476	28476
80	2492	28274
81	2507	28069
82	2522	27870
83	2538	27678
84	2554	27495
85	2568	27296
86	2582	27097
87	2599	26937
88	2617	26796
89	2630	26601
90	2645	26424
91	2664	26296
92	2680	26146
93	2696	25987
94	2711	25831
95	2726	25675
96	2742	25534
97	2762	25429
98	2784	25339
99	2798	25190
100	2814	25053
101	2827	24892
102	2842	24753
103	2857	24614
104	2872	24488
105	2888	24361
106	2904	24236
107	2921	24125
108	2938	24020
109	2964	23989
110	2987	23924
111	3013	23894
112	3039	23861
113	3060	23789
114	3075	23666
115	3089	23544
116	3105	23435
117	3120	23326
118	3135	23210
119	3151	23107
120	3168	23016
121	3184	22917
122	3202	22836
123	3228	22810
124	3261	22831
125	3310	22960
126	3334	22924
127	3359	22886
128	3384	22850
129	3414	22850
130	3432	22769
131	3468	22810
132	3495	22789
133	3526	22793
134	3547	22731
135	3569	22674
136	3595	22648
137	3618	22600
138	3639	22542
139	3660	22486
140	3683	22442
141	3729	22532
142	3768	22587
143	3804	22613
144	3853	22719
145	3897	22795
146	3924	22770
147	3945	22715
148	3968	22663
149	4018	22769
150	4046	22751
151	4081	22770
152	4119	22806
153	4163	22872
154	4193	22859
155	4212	22791
156	4241	22771
157	4263	22722
158	4285	22668
159	4313	22645
160	4376	22808
161	4426	22898
162	4465	22930
163	4495	22915
164	4518	22868
165	4564	22929
166	4585	22871
167	4625	22908
168	4648	22859
169	4675	22826
170	4696	22766
171	4718	22713
172	4767	22788
173	4807	22821
174	4856	22892
175	4890	22895
176	4908	22823
177	4939	22810
178	4962	22760
179	4981	22692
180	4997	22614
181	5016	22545
182	5033	22470
183	5049	22391
184	5065	22315
185	5081	22238
186	5100	22176
187	5115	22095
188	5132	22023
189	5147	21945
190	5162	21866
191	5178	21793
192	5194	21718
193	5210	21646
194	5229	21588
195	5244	21511
196	5259	21437
197	5274	21364
198	5290	21293
199	5307	21228
200	5325	21170
201	5341	21101
202	5358	21038
203	5373	20967
204	5392	20913
205	5418	20886
206	5439	20837
207	5458	20783
208	5475	20722
209	5493	20666
210	5509	20602
211	5527	20544
212	5543	20481
213	5558	20414
214	5572	20346
215	5587	20280
216	5606	20228
217	5624	20176
218	5650	20150
219	5674	20118
220	5690	20056
221	5707	20001
222	5723	19942
223	5740	19886
224	5755	19825
225	5771	19764
226	5785	19702
227	5801	19642
228	5816	19583
229	5832	19525
230	5850	19476
231	5869	19428
232	5884	19369
233	5903	19326
234	5921	19275
235	5945	19246
236	5962	19195
237	5979	19144
238	6000	19106
239	6028	19090
240	6060	19085
241	6090	19076
242	6116	19055
243	6135	19009
244	6155	18968
245	6168	18907
246	6182	18848
247	6203	18809
248	6216	18748
249	6244	18733
250	6278	18736
251	6310	18731
252	6344	18731
253	6389	18764
254	6425	18773
255	6454	18757
256	6484	18746
257	6507	18714
258	6527	18676
259	6555	18657
260	6577	18622
261	6627	18669
262	6704	18788
263	6760	18848
264	6814	18900
265	6850	18903
266	6882	18895
267	6919	18898
268	6949	18886
269	6981	18876
270	7015	18871
271	7059	18895
272	7099	18905
273	7136	18908
274	7171	18906
275	7208	18908
276	7241	18901
277	7280	18908
278	7313	18900
279	7344	18885
280	7369	18856
281	7402	18846
282	7436	18840
283	7461	18811
284	7479	18765
285	7499	18721
286	7519	18680
287	7534	18626
288	7554	18584
289	7575	18546
290	7592	18497
291	7607	18446
292	7623	18396
293	7639	18345
294	7654	18293
295	7671	18244
296	7689	18201
297	7706	18154
298	7732	18129
299	7755	18095
300	7773	18052
301	7799	18026
302	7822	17995
303	7848	17968
304	7874	17942
305	7914	17949
306	7939	17921
307	7969	17905
308	8002	17895
309	8029	17871
310	8048	17830
311	8066	17788
312	8088	17753
313	8109	17716
314	8130	17679
315	8151	17644
316	8171	17605
317	8192	17570
318	8212	17531
319	8231	17491
320	8252	17456
321	8276	17426
322	8304	17405
323	8326	17371
324	8345	17333
325	8367	17298
326	8388	17265
327	8409	17229
328	8428	17189
329	8450	17156
330	8471	17122
331	8491	17086
332	8512	17050
333	8534	17018
334	8555	16983
335	8576	16949
336	8598	16916
337	8620	16884
338	8641	16848
339	8661	16814
340	8683	16781
341	8703	16745
342	8724	16711
343	8745	16676
344	8766	16643
345	8788	16610
346	8812	16583
347	8834	16552
348	8853	16514
349	8879	16489
350	8909	16472
351	8939	16456
352	8966	16435
353	8995	16415
354	9017	16384
355	9036	16346
356	9055	16309
357	9077	16279
358	9097	16243
359	9116	16207
360	9134	16169
361	9153	16132
362	9174	16100
363	9193	16063
364	9226	16051
365	9251	16026
366	9310	16058
367	9363	16081
368	9400	16074
369	9441	16075
370	9470	16057
371	9500	16039
372	9528	16016
373	9549	15983
374	9569	15948
375	9590	15915
376	9611	15883
377	9641	15864
378	9668	15841
379	9699	15825
380	9724	15798
381	9748	15771
382	9772	15743
383	9796	15715
384	9816	15680
385	9837	15647
386	9859	15617
387	9880	15584
388	9900	15550
389	9918	15513
390	9936	15476
391	9951	15435
392	9968	15396
393	9986	15359
394	10001	15318
395	10017	15279
396	10034	15240
397	10048	15199
398	10063	15158
399	10080	15120
400	10096	15081
401	10111	15041
402	10129	15005
403	10146	14968
404	10161	14928
405	10176	14889
406	10193	14851
407	10209	14814
408	10224	14774
409	10241	14737
410	10256	14699
